NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
550e8400e29b41d4a716446655440001,Mumbai,400001,MG Road,Tower A,IN,2024-01-01,2030-12-31,19.0760,72.8777
550e8400e29b41d4a716446655440002,Pune,411001,FC Road,Block B,IN,2024-01-01,2030-12-31,18.5204,73.8567
550e8400e29b41d4a716446655440003,Solapur,413001,Railway Line,Building C,IN,2024-01-01,2030-12-31,17.6599,75.9064
550e8400e29b41d4a716446655440004,Nagpur,440001,Sitabuldi,Tower D,IN,2024-01-01,2030-12-31,21.1458,79.0882
550e8400e29b41d4a716446655440005,Nashik,422001,College Road,Block E,IN,2024-01-01,2030-12-31,19.9975,73.7898
550e8400e29b41d4a716446655440006,Hyderabad,500001,Banjara Hills,Tower F,IN,2024-01-01,2030-12-31,17.3850,78.4867
550e8400e29b41d4a716446655440007,Bangalore,560001,MG Road,Block G,IN,2024-01-01,2030-12-31,12.9716,77.5946
550e8400e29b41d4a716446655440008,Chennai,600001,Anna Salai,Building H,IN,2024-01-01,2030-12-31,13.0827,80.2707
550e8400e29b41d4a716446655440009,Delhi,110001,Connaught Place,Tower I,IN,2024-01-01,2030-12-31,28.6139,77.2090
550e8400e29b41d4a716446655440010,Kolkata,700001,Park Street,Block J,IN,2024-01-01,2030-12-31,22.5726,88.3639
550e8400e29b41d4a716446655440011,Jaipur,302001,MI Road,Building K,IN,2024-01-01,2030-12-31,26.9124,75.7873
550e8400e29b41d4a716446655440012,Ahmedabad,380001,CG Road,Tower L,IN,2024-01-01,2030-12-31,23.0225,72.5714
550e8400e29b41d4a716446655440013,Surat,395001,Ring Road,Block M,IN,2024-01-01,2030-12-31,21.1702,72.8311
550e8400e29b41d4a716446655440014,Indore,452001,Vijay Nagar,Building N,IN,2024-01-01,2030-12-31,22.7196,75.8577
550e8400e29b41d4a716446655440015,Bhopal,462001,MP Nagar,Tower O,IN,2024-01-01,2030-12-31,23.2599,77.4126
550e8400e29b41d4a716446655440016,Patna,800001,Fraser Road,Block P,IN,2024-01-01,2030-12-31,25.5941,85.1376
550e8400e29b41d4a716446655440017,Lucknow,226001,Hazratganj,Building Q,IN,2024-01-01,2030-12-31,26.8467,80.9462
550e8400e29b41d4a716446655440018,Goa,403001,Panjim Road,Tower R,IN,2024-01-01,2030-12-31,15.2993,74.1240
550e8400e29b41d4a716446655440019,Kochi,682001,Marine Drive,Block S,IN,2024-01-01,2030-12-31,9.9312,76.2673
550e8400e29b41d4a716446655440020,Chandigarh,160001,Sector 17,Building T,IN,2024-01-01,2030-12-31,30.7333,76.7794
